benchmark_id,benchmark_type,case_id,vignette_id,title,expected_category,n_withheld_details,n_details_covered,detail_recall,asked_for_missing_information,summary,withheld_detail_scores_json,status,run_id,response_id,input_tokens,output_tokens,total_tokens,started_at,completed_at,error_type,error_body
category_changing_11,category_changing,category_changing_11,11,Thumb crush injury,3,1,1,1.0,True,The model asked the key missing questions needed to distinguish a superficial laceration with closed fracture from an open phalanx fracture or open MCP joint injury.,"[{""detail"": ""The laceration overlies the fractured proximal phalanx near the MCP joint, so wound exploration is needed to determine whether it communicates with the proximal phalanx fracture or MCP joint."", ""covered"": true, ""covering_question"": ""Does the 1.5 cm laceration communicate with the proximal phalanx fracture site, expose bone, or otherwise make this an open fracture? / Is there concern that the laceration violates the thumb MCP joint capsule, such as visible joint capsule/cartilage, air in the joint, traumatic arthrotomy, or wound directly communicating with the MCP joint?"", ""rationale"": ""The model directly asks whether the laceration communicates with the proximal phalanx fracture and separately whether it violates or communicates with the MCP joint, which would elicit the withheld information.""}]",ok,1,resp_09609159621fd424006a1d98389718819c8ad018fcb6a9b9a5,695,357,1052,2026-06-01T14:33:28.374028+00:00,2026-06-01T14:33:33.952095+00:00,,
category_changing_12,category_changing,category_changing_12,12,Finger infection,3,1,1,1.0,True,"The model asked directly about Kanavel signs and related proximal spread, which would reasonably elicit the withheld exam details relevant to early flexor tenosynovitis.","[{""detail"": ""The finger is mildly swollen and held in slight flexion, with tenderness over the volar proximal phalanx and mild pain with passive extension, though no tenderness along the entire flexor sheath into the palm."", ""covered"": true, ""covering_question"": ""Are there Kanavel signs of flexor tenosynovitis: fusiform swelling of the digit, finger held in flexion, marked tenderness along the flexor tendon sheath, or pain with passive extension?"", ""rationale"": ""This directly asks about the key Kanavel-type findings: swelling, flexed posture, flexor sheath tenderness, and pain with passive extension. The model also separately asks about proximal spread into the palm/hand, which helps cover the absence of tenderness tracking into the palm.""}]",ok,1,resp_0406008d922100e2006a1d97bb567c81978b4ff64bfd8155e3,790,455,1245,2026-06-01T14:31:23.232754+00:00,2026-06-01T14:31:32.401694+00:00,,
category_changing_13,category_changing,category_changing_13,13,Suspected injection-related,3,1,1,1.0,True,The model asked appropriate clarifying questions that collectively cover the key withheld findings distinguishing deep-space infection from superficial abscess or cellulitis.,"[{""detail"": ""There is diffuse dorsal hand swelling with focal erythema/fluctuance near the second metacarpal/webspace, painful passive finger motion, WBC 12.4, and elevated CRP."", ""covered"": true, ""covering_question"": ""Are there signs of a deep-space hand infection or web-space abscess, such as fluctuance, purulent drainage, marked swelling centered in the webspace or palm, finger splaying, or severe pain with finger abduction/adduction? / Does he have pain with passive finger motion, fusiform swelling of a digit, tenderness along the flexor tendon sheath, or a finger held in flexion? / Are there systemic or necrotizing infection features, such as fever, hypotension, rapidly progressive erythema, pain out of proportion, skin necrosis, bullae, crepitus, or significant laboratory toxicity?"", ""rationale"": ""The model directly asked about deep-space/web-space abscess findings including fluctuance and marked webspace swelling, asked about pain with passive finger motion, and asked about significant laboratory toxicity, which would reasonably elicit elevated WBC/CRP.""}]",ok,1,resp_0f78f4f987f2f2ff006a1d98261a64819e88fa22027e864f56,768,656,1424,2026-06-01T14:33:09.989142+00:00,2026-06-01T14:33:20.583033+00:00,,
category_changing_14,category_changing,category_changing_14,14,Perfusion issues after radial artery catheterization,3,1,1,1.0,True,The model appropriately asked about the key missing vascular compromise findings and objective sensory deficits that determine need for urgent hand surgery consultation.,"[{""detail"": ""The hand is cooler than the contralateral side; thumb and index finger have gray-purple discoloration with capillary refill around 4 seconds; radial pulse is not palpable while ulnar pulse is palpable; sensation is diminished over the volar thumb and index finger."", ""covered"": true, ""covering_question"": ""Is there any evidence of vascular compromise in the right hand, such as coolness, pallor/cyanosis, delayed capillary refill, weak/absent Doppler signals or pulse oximetry waveform in the digits, or diminished radial/ulnar flow compared with the other hand? / Are the paresthesias only intermittent and subjective, or is there objective sensory loss or motor weakness in the median, ulnar, or radial nerve distributions?"", ""rationale"": ""The vascular question would elicit coolness, discoloration, delayed capillary refill, and radial/ulnar perfusion or pulse abnormalities. The neurologic question would elicit objective sensory loss in the thumb/index distribution.""}]",ok,1,resp_04b755537ce6bd9e006a1d97f5012c819e8624208d35bab5d8,728,544,1272,2026-06-01T14:32:20.920694+00:00,2026-06-01T14:32:30.635398+00:00,,
category_changing_15,category_changing,category_changing_15,15,Fingertip amputation,2,1,1,1.0,True,"The model appropriately asked for the major missing hand-triage information: radiographic tuft involvement, exposed structures/soft-tissue coverage, and vascular status. It missed explicit sensory distribution, but overall it requested the critical missing information.","[{""detail"": ""X-ray shows a distal tuft fracture with about 3 mm of distal tuft involvement; no exposed tendon; a 3 x 4 mm area of distal phalanx is visible but can be covered after gentle soft tissue approximation; fingertip is warm with brisk capillary refill; sensation is diminished radially but intact ulnarly."", ""covered"": true, ""covering_question"": ""Are radiographs available, and do they show no fracture, an open tuft fracture only, or a more proximal/open distal phalanx fracture? / Is there exposed bone, tendon, or joint, or is this a more extensive partial fingertip amputation rather than isolated distal pulp/nail fold soft tissue loss? / Is the fingertip well perfused distal to the injury, with normal capillary refill/color and no concern for vascular compromise?"", ""rationale"": ""The model asked about the key triage elements: x-ray/tuft fracture extent, exposed bone/tendon or more extensive amputation, and fingertip perfusion/capillary refill. It did not explicitly ask about the unilateral sensory deficit, but it covered the main withheld determinants for outpatient versus immediate hand consultation.""}]",ok,1,resp_0dab041e02337c55006a1d97c904ac81a1844787e69712465b,747,872,1619,2026-06-01T14:31:36.910676+00:00,2026-06-01T14:31:53.951106+00:00,,
category_changing_16,category_changing,category_changing_16,16,Thumb crush injury with limited exam reliability,3,1,0,0.0,False,"The model appropriately asked about tendon and sensory function but missed the crucial reliability limitation due to intoxication and severe pain, including inability to assess passive ROM.","[{""detail"": ""Because the patient is intoxicated and in severe pain, active motion, passive range of motion, and sensation cannot be reliably assessed at the initial exam."", ""covered"": false, ""covering_question"": """", ""rationale"": ""The model asked about active tendon function and distal sensation, which partially addresses neurotendon assessment, but it did not ask whether the exam was reliable or limited by intoxication/severe pain, nor did it ask about passive range of motion. Thus the key withheld issue—that tendon/nerve/joint-motion injury cannot be excluded because the exam is unreliable—was not fully elicited.""}]",ok,1,resp_0746df61d3824c4b006a1d9814d09481a184983c62a74b34b3,810,744,1554,2026-06-01T14:32:52.715160+00:00,2026-06-01T14:33:09.782873+00:00,,
category_defining_1,category_defining,category_defining_1,1,recent OSH transfer to BWH after CT scan showed multi-loculated abscess,3,1,1,1.0,True,"The model directly asked for the omitted local exam finding and gave examples consistent with a palpable subcutaneous collection, so the withheld detail was covered.","[{""detail"": ""subcutaneous underlying palpable collection"", ""covered"": true, ""covering_question"": ""What was the omitted exam detail after 'focal moderate erythema over dorsal left wrist with ...'—for example, fluctuance, purulent drainage, open wound, necrosis/eschar, bullae, crepitus, or lymphangitic streaking?"", ""rationale"": ""This open-ended question specifically asks for the omitted local exam detail and includes fluctuance, which would reasonably elicit a subcutaneous palpable collection.""}]",ok,1,resp_0400ef0030c6b928006a22e8cece58819c97c537f5b971c35a,804,316,1120,2026-06-05T15:18:38.702621+00:00,2026-06-05T15:18:45.692554+00:00,,
category_defining_2,category_defining,category_defining_2,2,"recent OSH presentation that they did NOT call about transfer, ended up needing multiple surgeries and prolonged hospitalization at BWH",3,3,2,0.667,False,"The model asked no clarifying questions. It should not be penalized for the major degloving/soft-tissue injury concept already reflected in its reasoning, and the third item is non-substantive, but it failed to ask the key missing question about flap congestion and delayed capillary refill.","[{""detail"": ""Large skin and subcutaneous tissue avulsion flap of distal portion of dorsal forearm. No underlying bone exposed."", ""covered"": true, ""covering_question"": """", ""rationale"": ""No clarifying question was asked, but the model reasoning already identified a large dorsal distal forearm degloving/soft-tissue injury, so this category-changing concept was already present and should not be penalized.""}, {""detail"": ""Skin flap appears congested, with capillary refill >4 seconds compared with <2 seconds in the surrounding skin"", ""covered"": false, ""covering_question"": """", ""rationale"": ""The model did not ask about flap perfusion, congestion, viability, or capillary refill of the avulsed skin flap.""}, {""detail"": ""."", ""covered"": true, ""covering_question"": """", ""rationale"": ""This contains no substantive category-changing clinical detail to elicit.""}]",ok,1,resp_0ed8865076c48f8e006a22e86ab4c081a29c0549d3d1d2867e,523,3242,3765,2026-06-05T15:16:58.590955+00:00,2026-06-05T15:18:11.576953+00:00,,
category_defining_3,category_defining,category_defining_3,3,Anticoagulation and age as complicating factor,2,1,1,1.0,True,"The model did not ask verbatim about DIP strength compared with the contralateral side, but it did ask about partial flexor tendon injury despite intact DIP/PIP flexion, which covers the category-changing concept.","[{""detail"": ""diminished strength at the distal interphalangeal joint compared to the contralateral side"", ""covered"": true, ""covering_question"": ""Was the wound explored through full range of motion, and is there any visible or suspected partial flexor tendon laceration despite intact active DIP and PIP flexion?"", ""rationale"": ""Diminished DIP strength despite intact flexion is a key sign of possible partial flexor tendon injury; asking about suspected partial flexor tendon laceration would reasonably elicit this omitted finding.""}]",ok,1,resp_076c05e7031ef308006a22e8b3e03c819d9773b3d233aef370,672,398,1070,2026-06-05T15:18:11.782211+00:00,2026-06-05T15:18:20.649761+00:00,,
category_defining_4,category_defining,category_defining_4,4,Occupation as an influencing factor,2,1,1,1.0,True,"The model appropriately asked for the omitted injury diagnosis and imaging findings, including whether a metacarpal fracture was displaced, which covers the category-defining withheld information.","[{""detail"": ""Presents with a right fifth metacarpal neck fracture after punching a door; X-rays show 45 degrees of volar angulation of the right fifth metacarpal neck."", ""covered"": true, ""covering_question"": ""If imaging was obtained, what did it show—no fracture, closed phalangeal/metacarpal/carpal fracture, distal phalanx tuft fracture, dislocation, carpal dislocation, or distal radius/ulna fracture—and is any fracture displaced or nonreducible?"", ""rationale"": ""This question asks for imaging findings, metacarpal fracture presence, and displacement/nonreducibility, which would reasonably elicit the fifth metacarpal neck fracture and 45 degrees of volar angulation. The punching-door mechanism is incidental to the triage category.""}]",ok,1,resp_0f6da70e326bbd75006a22e9387cf481a188cb3d2d0c74284e,1022,794,1816,2026-06-05T15:20:24.317289+00:00,2026-06-05T15:20:39.407170+00:00,,
category_defining_5,category_defining,category_defining_5,5,"Occupation, age, fracture pattern as complicating factors",2,3,3,1.0,True,"The model asked a broad but appropriate clarifying question about the omitted key clinical or imaging finding, which would reasonably elicit the X-ray diagnosis of a displaced scaphoid waist fracture and the absence of step-off.","[{""detail"": ""X-rays show a"", ""covered"": true, ""covering_question"": ""What is the omitted key clinical or imaging finding after the fall—for example focal anatomic snuffbox/scaphoid tenderness, perilunate/lunate dislocation, distal radius fracture, open wound, or neurovascular deficit?"", ""rationale"": ""This broadly asks for the missing clinical or imaging finding shown after the fall, which would elicit that the X-rays show an abnormality.""}, {""detail"": ""scaphoid waist fracture with 3 mm displacement"", ""covered"": true, ""covering_question"": ""What is the omitted key clinical or imaging finding after the fall—for example focal anatomic snuffbox/scaphoid tenderness, perilunate/lunate dislocation, distal radius fracture, open wound, or neurovascular deficit?"", ""rationale"": ""The question asks for the omitted injury diagnosis or imaging finding, which would reasonably elicit the scaphoid waist fracture and its displacement.""}, {""detail"": ""and no step-off."", ""covered"": true, ""covering_question"": ""What is the omitted key clinical or imaging finding after the fall—for example focal anatomic snuffbox/scaphoid tenderness, perilunate/lunate dislocation, distal radius fracture, open wound, or neurovascular deficit?"", ""rationale"": ""Although not specifically phrased as a question about articular step-off, the broad request for the omitted imaging finding could reasonably elicit the full radiographic description, including absence of step-off.""}]",ok,1,resp_017bcbbb0f13c8eb006a22e915b2bc819d9a4bcc807b871de6,903,891,1794,2026-06-05T15:19:49.553509+00:00,2026-06-05T15:20:06.136176+00:00,,
category_defining_6,category_defining,category_defining_6,6,unstable reduction as a subtle difference,2,1,0,0.0,False,"The model identified some generally important hand-triage missing information, but it missed the category-defining withheld detail about PIP joint stability after reduction and splinting position.","[{""detail"": ""When the emergency medicine physician tests stability, the joint subluxates with 20 degrees of extension but is stable in 30 degrees of flexion. After stability testing, the joint is returned to reduction and remains concentrically reduced when splinted in 30 degrees of flexion."", ""covered"": false, ""covering_question"": """", ""rationale"": ""The model asked about open injury, neurovascular status, and tendon/soft tissue dysfunction, but did not ask about post-reduction stability, subluxation with extension, stability in flexion, or whether the joint remains concentrically reduced in a flexion splint.""}]",ok,1,resp_08c709e67970f344006a22e8f2f61c81a28c86ee632603f594,707,572,1279,2026-06-05T15:19:14.860850+00:00,2026-06-05T15:19:27.306845+00:00,,
category_defining_7,category_defining,category_defining_7,7,unclear joint involvement,2,1,1,1.0,True,"The model directly asked for the key missing category-defining information: dynamic wound exploration, signs of MCP joint violation, and possible extensor hood/sagittal band involvement.","[{""detail"": ""The wound is explored through range of motion, including the injury position. There is no synovial fluid, exposed cartilage, visible capsule violation, or communication with the MCP joint. The laceration is deep and periarticular, extending to the level of the extensor hood/sagittal band, which appears intact, but the depth and location raise concern for possible partial periarticular soft-tissue injury requiring outpatient hand surgery follow-up."", ""covered"": true, ""covering_question"": ""With the MCP joint flexed and the wound fully explored through range of motion, is there any extensor tendon, sagittal band, joint capsule violation, visible joint space, synovial fluid leakage, or other concern for traumatic arthrotomy/open MCP joint?"", ""rationale"": ""The question asks whether the wound was explored through range of motion with the MCP flexed and specifically asks about sagittal band/extensor tendon involvement, joint capsule violation, visible joint space, synovial fluid leakage, and concern for traumatic arthrotomy/open MCP joint. This would reasonably elicit the withheld information about absence of joint communication and concern for periarticular extensor hood/sagittal band depth.""}]",ok,1,resp_06f1bd8c33d2979c006a2733027c4081a38a3a0aaf27575171,749,474,1223,2026-06-08T21:24:17.386380+00:00,2026-06-08T21:24:27.941947+00:00,,
category_defining_8,category_defining,category_defining_8,8,Hand infection,3,1,1,1.0,True,The model asked a clarifying question that covers the key omitted category-defining finding.,"[{""detail"": ""pain with active thumb opposition and finger flexion"", ""covered"": true, ""covering_question"": ""Are there findings concerning for a deep palmar/thenar space infection, such as tense thenar or midpalmar swelling, loss of normal palmar concavity, severe deep pain, pain with thumb/index motion or opposition, fluctuance, or abscess on ultrasound/CT/MRI?"", ""rationale"": ""This question directly asks about pain with thumb opposition and pain with thumb/index motion, which would reasonably elicit pain with active thumb opposition and finger flexion.""}]",ok,1,resp_06aed4e85d8c56c5006a22e8ffa89481a09fedd8464d53d6ec,903,461,1364,2026-06-05T15:19:27.512929+00:00,2026-06-05T15:19:36.187533+00:00,,
category_defining_9,category_defining,category_defining_9,9,Distal Phalanx fracture,2,1,0,0.0,False,"The model asked about vascular status, soft-tissue compromise, and tendon function, but did not ask the category-defining missing detail: whether the nailbed laceration communicates with the tuft fracture.","[{""detail"": ""The nailbed laceration communicates with the tuft fracture"", ""covered"": false, ""covering_question"": """", ""rationale"": ""None of the model's questions asks whether the nailbed laceration communicates with the distal phalanx tuft fracture or whether the fracture is open through the nailbed wound.""}]",ok,1,resp_07961c75e1b54468006a22e8d6061081a0af7c04c39f4be862,718,574,1292,2026-06-05T15:18:45.899425+00:00,2026-06-05T15:18:57.801363+00:00,,
category_defining_10,category_defining,category_defining_10,10,Volar middle finger laceration,2,1,1,1.0,True,"The model asked the key missing tendon-function question, specifically covering diminished and painful resisted DIP flexion strength.","[{""detail"": ""DIP flexion strength is diminished compared to the contralateral side and painful against resistance"", ""covered"": true, ""covering_question"": ""Was isolated flexor tendon testing normal, including full active DIP flexion with the PIP held extended (FDP), full active PIP flexion with the other fingers held extended (FDS), and no weakness or pain with resisted flexion?"", ""rationale"": ""This question directly asks about FDP/DIP flexion strength and whether there is weakness or pain with resisted flexion, which would elicit the withheld finding.""}]",ok,1,resp_06df364ed7d6d747006a22e930c43c81a0a8192249c4046580,709,353,1062,2026-06-05T15:20:16.643892+00:00,2026-06-05T15:20:24.111482+00:00,,
category_defining_11,category_defining,category_defining_11,11,Thumb crush injury,3,1,1,1.0,True,The model appropriately asked about the key missing category-changing detail: whether there is an open wound or laceration associated with the proximal phalanx fracture.,"[{""detail"": ""The soft tissues overlying the proximal phalanx are swollen, and there is a 1.5 cm laceration over the dorsal-radial aspect of the thumb near the metacarpophalangeal joint."", ""covered"": true, ""covering_question"": ""Is there any open wound, laceration, puncture, nailfold/nailbed disruption, or exposed bone overlying or communicating with the proximal phalanx fracture?"", ""rationale"": ""This question directly asks about an open wound or laceration overlying or communicating with the proximal phalanx fracture, which would reasonably elicit the withheld laceration detail. The associated swelling may also be partly elicited by the soft tissue trauma question, but the category-changing open-wound concept is clearly covered.""}]",ok,1,resp_05c467ee5595f15f006a22e9266ff0819f87d7904105ccc09f,769,534,1303,2026-06-05T15:20:06.340979+00:00,2026-06-05T15:20:16.439301+00:00,,
category_defining_12,category_defining,category_defining_12,12,Finger infection,3,1,1,1.0,True,The model asked the key missing exam question needed to distinguish flexor tenosynovitis from a more superficial/localized infection.,"[{""detail"": ""On exam, the finger is mildly swollen and held in slight flexion. She has tenderness over the volar proximal phalanx and mild pain with passive extension, but no tenderness along the entire flexor sheath into the palm."", ""covered"": true, ""covering_question"": ""Are there Kanavel signs of flexor tenosynovitis: fusiform swelling of the small finger, finger held in slight flexion, tenderness along the flexor tendon sheath, and/or pain with passive extension?"", ""rationale"": ""This question directly asks about the key category-defining Kanavel signs, including swelling, flexed posture, flexor sheath tenderness, and pain with passive extension; it would reasonably elicit the nuanced finding that tenderness is localized rather than present along the entire sheath.""}]",ok,1,resp_0b5935ec651c5d2f006a22e90b30d48191823b62034f78b061,767,408,1175,2026-06-05T15:19:39.080242+00:00,2026-06-05T15:19:49.349297+00:00,,
category_defining_13,category_defining,category_defining_13,13,Suspected injection-related,3,2,2,1.0,True,The model asked relevant clarifying questions that cover both omitted category-defining exam details: the focal fluctuance/swelling suggesting abscess and the pain-limited but preserved active/passive finger motion.,"[{""detail"": ""On exam, there is diffuse dorsal hand swelling with focal erythema and a 1 cm area of fluctuance over the second metacarpal."", ""covered"": true, ""covering_question"": ""Is there any exam or imaging concern for a deep space infection, such as fluctuance/abscess, marked second webspace swelling, palmar tenderness, pain with passive finger motion, or ultrasound/CT/MRI evidence of a deep fluid collection?"", ""rationale"": ""The question explicitly asks about fluctuance/abscess and swelling, which would reasonably elicit the key omitted finding of focal fluctuance with dorsal hand swelling/erythema.""}, {""detail"": ""Finger extension is limited by pain but present. Passive finger flexion and extension are painful but possible."", ""covered"": true, ""covering_question"": ""Does he have pain with motion of the MCP/PIP/DIP joints, limited active or passive range of motion, or focal joint tenderness suggesting septic arthritis?"", ""rationale"": ""The question asks about pain with motion and limited active or passive range of motion, which would elicit that extension is pain-limited but present and passive motion is painful but possible.""}]",ok,1,resp_0bd35f280e86428c006a22e8c4ca2481a0936f39803a4ca6c2,815,576,1391,2026-06-05T15:18:28.694581+00:00,2026-06-05T15:18:38.495903+00:00,,
